State_TW,State_EN,Gender,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
葉門,(YEMEN),Female,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巴勒斯坦,(PALESTINIAN),Male,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
巴勒斯坦,(PALESTINIAN),Female,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澳大利亞,(AUSTRALIA),Male,124,281,43,55,32,59,10,18,9,6,8,4,2,14,9,6,4,6,16,6,1,0
澳大利亞,(AUSTRALIA),Female,47,136,15,20,14,16,8,7,0,1,6,2,0,10,1,0,0,3,2,4,0,0
斐濟,(FIJI),Male,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
斐濟,(FIJI),Female,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
諾魯,(NAURU),Male,3,3,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
諾魯,(NAURU),Female,7,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
紐西蘭,(NEW ZEALAND),Male,51,80,17,32,7,20,1,2,1,3,3,2,1,3,0,0,0,1,7,3,2,0
紐西蘭,(NEW ZEALAND),Female,13,54,3,5,6,6,1,1,2,0,0,0,1,1,0,1,1,0,4,3,1,0
東加王國,(TONGA),Male,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東加王國,(TONGA),Female,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
西薩摩亞,(WESTERN SAMOA),Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西薩摩亞,(WESTERN SAMOA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萬那杜,(VANUATU),Male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萬那杜,(VANUATU),Female,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
密克羅尼西亞,(MICRONESIA),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
密克羅尼西亞,(MICRONESIA),Female,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
帛琉,(PALAU),Male,10,5,7,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帛琉,(PALAU),Female,18,5,3,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
阿爾巴尼亞,(ALBANIA),Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
阿爾巴尼亞,(ALBANIA),Female,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奧地利,(AUSTRIA),Male,22,43,9,6,5,12,1,2,2,1,0,1,1,2,0,3,0,0,3,1,0,0
奧地利,(AUSTRIA),Female,5,12,2,1,4,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
比利時,(BELGIUM),Male,37,114,5,17,8,11,2,5,0,1,0,2,0,0,1,1,0,1,3,0,0,0
比利時,(BELGIUM),Female,3,48,1,2,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
保加利亞,(BULGARIA),Male,3,9,2,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
保加利亞,(BULGARIA),Female,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
